,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
7491,90157693,297500,flat,130.0,1,4,2,Calle Alto del Esparragal s/n,Madrid,Vicálvaro,40.3967,-3.5577,12518,newdevelopment,1,0,2288,1,1,El Cañaveral - Los Berrocales,1,1,,0
7492,90157692,248900,flat,115.0,1,3,2,Calle Alto del Esparragal s/n,Madrid,Vicálvaro,40.3967,-3.5577,12518,newdevelopment,1,0,2164,1,1,El Cañaveral - Los Berrocales,1,1,,0
7493,90155722,420000,flat,100.0,1,3,2,Calle Nuria,Madrid,Fuencarral,40.4972,-3.7108,8977,good,0,0,4200,1,1,Mirasierra,2,1,,0
7494,90157623,222900,flat,97.0,1,2,2,Calle Alto del Esparragal s/n,Madrid,Vicálvaro,40.3967,-3.5577,12518,newdevelopment,1,0,2298,1,1,El Cañaveral - Los Berrocales,8,1,,0
7495,90157488,425000,flat,95.0,1,2,2,Avenida del Monasterio de Silos,Madrid,Fuencarral,40.5014,-3.7031,9418,good,0,0,4474,1,1,Montecarmelo,1,1,,0
7496,90157514,375000,flat,83.0,1,3,1,Calle Clara del Rey s/n,Madrid,Chamartín,40.4429,-3.6694,4086,renew,0,0,4518,0,0,Prosperidad,5,1,,0
7497,90157491,355000,flat,122.0,1,3,2,Calle Alcala,Madrid,San Blas,40.4503,-3.6019,9359,good,0,0,2910,1,0,Rejas,2,1,10000.0,0
7498,90157472,132900,flat,71.0,1,3,1,Calle Almazán,Madrid,Latina,40.4054,-3.7439,3661,good,0,0,1872,0,0,Lucero,2,0,,0
7499,90156983,388000,flat,113.0,1,2,2,"Calle de Francisco Silvela, 96",Madrid,Chamartín,40.4387,-3.6783,3230,good,0,0,3434,0,0,Prosperidad,2,1,,0
7500,90157471,185000,flat,103.0,1,3,2,Centro,Fuenlabrada,Centro,40.2867,-3.7935,16348,good,0,0,1796,1,1,nan,2,1,,0
7501,90156418,425000,flat,101.0,1,3,2,CLARA DEL REY,Madrid,Chamartín,40.4455,-3.6695,4287,good,0,0,4208,0,0,Prosperidad,8,1,,0
7502,89999829,435000,chalet,170.0,0,4,4,Casco Antiguo,Boadilla del Monte,Casco Antiguo,40.4044,-3.8809,15103,good,0,0,2559,0,0,nan,nan,0,,0
7503,90157253,266000,flat,109.0,1,3,2,Rivas Urbanizaciones,Rivas-Vaciamadrid,Rivas Urbanizaciones,40.3783,-3.5422,14290,good,0,0,2440,1,1,nan,1,1,,0
7504,90157350,150000,flat,79.0,0,1,1,Calle Padre Amigo s/n,Madrid,Carabanchel,40.3788,-3.7396,5221,newdevelopment,1,0,1899,0,0,Puerta Bonita,nan,1,,0
7505,90157103,181000,flat,98.0,1,3,2,El Arroyo - La Fuente,Fuenlabrada,El Arroyo - La Fuente,40.2814,-3.797,17015,good,0,0,1847,0,0,nan,2,1,,0
7506,90157291,450000,duplex,157.0,0,3,2,Calle Jacinto Benavente,Boadilla del Monte,Sector B,40.4043,-3.9004,16749,good,0,0,2866,1,1,nan,3,1,,0
7507,90157032,430000,flat,95.0,1,2,2,Plaza ALCALDE MORENO TORRES,Madrid,Hortaleza,40.489,-3.6598,8838,good,0,0,4526,1,1,Sanchinarro,2,1,,0
7508,90157165,190000,flat,71.0,1,3,1,Calle Seseña,Madrid,Latina,40.3955,-3.7689,6037,renew,0,0,2676,0,0,Aluche,4,1,,0
7509,90157189,335000,flat,65.0,1,1,1,"Calle Bocangel, 34",Madrid,Barrio de Salamanca,40.4264,-3.6627,3600,good,0,0,5154,0,0,Fuente del Berro,2,1,,0
7510,90157140,240000,studio,40.0,1,0,1,Avenida de españa,Pozuelo de Alarcón,Zona Avenida Europa,40.4382,-3.8059,9010,good,0,0,6000,1,1,Zona Avenida Europa,bj,0,,0
7511,90156295,240000,flat,70.0,1,2,1,Calle Isla Graciosa,Madrid,Fuencarral,40.4958,-3.687,8899,good,0,0,3429,0,0,Tres Olivos - Valverde,4,1,,0
7512,90157135,495000,duplex,97.0,1,1,2,"Calle Bocangel, 34",Madrid,Barrio de Salamanca,40.4264,-3.6627,3600,good,0,0,5103,1,0,Fuente del Berro,bj,1,35000.0,0
7513,90157118,395000,flat,120.0,1,3,2,barrio Parque Empresarial,Las Rozas de Madrid,Parque Empresarial,40.5232,-3.8952,20094,good,0,0,3292,1,1,Parque Empresarial,2,1,,0
7514,90156575,130000,flat,86.0,1,3,1,"Urbanizacion Nuevo Versalles, 7",Fuenlabrada,Loranca,40.2927,-3.8324,17606,renew,0,0,1512,0,0,nan,7,1,,0
7515,90156644,440500,flat,127.0,1,3,1,barrio Malasaña-Universidad,Madrid,Centro,40.4247,-3.7028,891,renew,0,0,3469,0,0,Malasaña-Universidad,1,0,,0
7516,90157016,390000,flat,105.0,1,2,1,barrio Zona Avenida Europa,Pozuelo de Alarcón,Zona Avenida Europa,40.4402,-3.7886,7678,good,0,0,3714,1,1,Zona Avenida Europa,2,1,,0
7517,90154327,179000,flat,79.0,1,2,2,"Calle Uruguay, 7",Coslada,La Espinilla - Parque Blanco,40.4257,-3.5544,12640,good,0,0,2266,0,0,nan,bj,0,,0
7518,90156990,125000,flat,84.0,1,2,2,Calle Marte s/n,Ciempozuelos,Casco Antiguo sur,40.1565,-3.624,29697,newdevelopment,1,0,1488,0,0,nan,nan,1,,0
7519,90156750,113000,flat,81.0,1,3,1,Almagro,Alcalá de Henares,Reyes Católicos,40.4727,-3.3825,27848,renew,0,0,1395,0,0,nan,3,0,,0
7520,82469997,144000,flat,47.0,0,1,1,"Calle de Juan José Martínez Seco, 87",Madrid,Villaverde,40.3521,-3.6856,7339,good,0,0,3064,0,0,Los Rosales,3,1,,0
7521,82469991,202000,flat,70.0,1,2,1,"Calle de Juan José Martínez Seco, 87",Madrid,Villaverde,40.3521,-3.6856,7339,good,0,0,2886,0,0,Los Rosales,1,1,,0
7522,90156361,325000,flat,60.0,1,1,1,Calle del Pez s/n,Madrid,Centro,40.4237,-3.7053,800,good,0,0,5417,0,0,Malasaña-Universidad,1,1,,0
7523,90156894,122000,flat,53.0,1,3,1,Calle De Casalarreina,Madrid,Vicálvaro,40.4094,-3.6132,7668,good,0,0,2302,0,0,Ambroz,3,0,,0
7524,90150001,159900,flat,93.0,1,3,2,El Arenal,Loeches,nan,40.3824,-3.408,25290,good,0,0,1719,1,1,nan,1,0,,0
7525,90143940,199000,flat,92.0,1,3,1,Avenida Real de Pinto,Madrid,Villaverde,40.3409,-3.7055,8428,good,0,0,2163,1,1,San Andrés,3,0,,0
7526,90156683,169000,flat,24.0,1,1,1,barrio Huertas-Cortes,Madrid,Centro,40.4102,-3.6936,1089,good,0,0,7042,0,0,Huertas-Cortes,3,0,,0
7527,90156444,143000,flat,62.0,1,3,1,Calle Gutiérrez Canales,Madrid,San Blas,40.4448,-3.6146,8130,renew,0,0,2306,0,0,Canillejas,4,0,,0
7528,90156566,86800,flat,69.0,0,2,2,Calle Ciudad Real s/n,Torres de la Alameda,nan,40.4077,-3.3664,28538,newdevelopment,1,0,1258,0,0,nan,nan,1,,0
7529,90156218,430000,flat,91.0,1,3,2,"Paseo Marqués de Zafra, 21",Madrid,Barrio de Salamanca,40.4263,-3.6659,3339,good,0,0,4725,0,0,Fuente del Berro,6,1,,0
7530,90156427,139000,flat,59.0,1,1,1,Calle Santa Susana,Madrid,Hortaleza,40.4771,-3.6477,8198,renew,0,0,2356,0,0,Pinar del Rey,8,1,,0
7531,90156470,96200,flat,48.0,0,2,1,Calle de Callejo,Madrid,Puente de Vallecas,40.3884,-3.6702,4212,nan,0,0,2004,0,0,San Diego,nan,0,,0
