,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
36,88071109,1195000,flat,234.0,TRUE,2,2,Calle de San Marcos,Madrid,Centro,40.4201,-3.698,584,good,FALSE,FALSE,5107,TRUE,TRUE,Chueca-Justicia,en,TRUE,,FALSE
37,83372296,790000,chalet,450.0,FALSE,4,5,Avenida del Guadalix,Santo Domingo,Centro,40.6408,-3.5814,26962,good,FALSE,FALSE,1756,TRUE,TRUE,Chueca-Justicia,en,TRUE,,FALSE
38,38987694,1750000,flat,396.0,TRUE,3,4,"fuencarral, 22",Madrid,Centro,40.422,-3.7008,625,good,FALSE,FALSE,4419,TRUE,TRUE,Chueca-Justicia,1,TRUE,,FALSE
39,85228085,1460000,duplex,150.0,FALSE,3,3,Calle de Claudio Coello,Madrid,Barrio de Salamanca,40.4257,-3.6864,1739,good,FALSE,FALSE,9733,TRUE,FALSE,Recoletos,5,TRUE,80000.0,FALSE
40,88071469,415000,flat,78.0,TRUE,1,1,Calle de Cádiz,Madrid,Centro,40.4142,-3.7043,292,good,FALSE,FALSE,5321,TRUE,FALSE,Sol,4,TRUE,80000.0,FALSE
41,83526598,265000,flat,28.0,FALSE,1,1,"Plaza de Manuel Becerra, Madrid",Madrid,Barrio de Salamanca,40.4294,-3.6685,3261,good,FALSE,FALSE,9464,TRUE,FALSE,Goya,5,TRUE,80000.0,FALSE
42,87229251,2800000,flat,677.0,TRUE,5,6,Avenida de los Madroños,Madrid,Hortaleza,40.4572,-3.6428,6814,good,FALSE,FALSE,4136,TRUE,TRUE,Conde Orgaz-Piovera,bj,TRUE,80000.0,FALSE
43,86230465,595000,chalet,157.0,FALSE,3,3,Calle del Musgo,La Moraleja,El Soto de la Moraleja,40.5279,-3.6344,13664,renew,FALSE,FALSE,3790,TRUE,TRUE,Conde Orgaz-Piovera,bj,TRUE,80000.0,FALSE
44,86173810,3900000,chalet,844.0,FALSE,9,8,Calle del Camino Alto,La Moraleja,La Moraleja,40.5082,-3.6287,11972,good,FALSE,FALSE,4621,TRUE,TRUE,Conde Orgaz-Piovera,bj,TRUE,80000.0,FALSE
45,88463720,2950000,chalet,700.0,FALSE,6,6,Camino de la Fuente,La Moraleja,La Moraleja,40.5165,-3.6221,13051,good,FALSE,FALSE,4214,TRUE,TRUE,Conde Orgaz-Piovera,bj,TRUE,80000.0,FALSE
46,88316136,1795000,chalet,450.0,FALSE,6,6,Calle de la Cuesta del Cerro,La Moraleja,El Soto de la Moraleja,40.5205,-3.6349,12909,good,FALSE,FALSE,3989,TRUE,TRUE,Conde Orgaz-Piovera,bj,TRUE,80000.0,FALSE
47,86477440,1140000,flat,175.0,TRUE,4,3,Paseo de los Parques,La Moraleja,Encinar de los Reyes,40.5123,-3.65,11542,good,FALSE,FALSE,6514,TRUE,TRUE,Conde Orgaz-Piovera,bj,TRUE,80000.0,FALSE
48,85811251,940000,flat,170.0,TRUE,3,3,Calle del Tomillo,La Moraleja,El Soto de la Moraleja,40.5274,-3.6345,13608,good,FALSE,FALSE,5529,TRUE,TRUE,Conde Orgaz-Piovera,3,TRUE,80000.0,FALSE
49,37767077,1250000,chalet,300.0,FALSE,6,5,Calle julio caro baroja,La Moraleja,Encinar de los Reyes,40.5072,-3.6461,11159,good,FALSE,FALSE,4167,TRUE,TRUE,Conde Orgaz-Piovera,3,TRUE,80000.0,FALSE
0,89060302,890000,flat,166.0,FALSE,3,3,barrio Castellana,Madrid,Barrio de Salamanca,40.434,-3.6804,2725,good,FALSE,FALSE,5361,TRUE,TRUE,Castellana,bj,TRUE,80000.0,FALSE
1,84732787,450000,flat,74.0,FALSE,2,2,Paseo Imperial,Madrid,Arganzuela,40.409,-3.7185,1548,good,FALSE,FALSE,6081,TRUE,TRUE,Imperial,bj,TRUE,80000.0,FALSE
2,89060208,1800000,flat,220.0,TRUE,3,4,barrio Recoletos,Madrid,Barrio de Salamanca,40.423,-3.6877,1489,good,FALSE,FALSE,8182,TRUE,TRUE,Recoletos,3,TRUE,80000.0,FALSE
3,89060057,385000,flat,98.0,FALSE,3,2,barrio Guindalera,Madrid,Barrio de Salamanca,40.4361,-3.6724,3389,renew,FALSE,FALSE,3929,TRUE,TRUE,Guindalera,2,TRUE,80000.0,FALSE
4,89060111,680000,flat,143.0,FALSE,8,2,Plaza de José Moreno Villa,Madrid,Moncloa,40.4255,-3.7149,1393,renew,FALSE,FALSE,4755,TRUE,TRUE,Argüelles,2,TRUE,80000.0,FALSE
5,89060086,370000,chalet,85.0,FALSE,3,2,Calle del Conde Duque,Madrid,Centro,40.4289,-3.7104,1485,renew,FALSE,FALSE,4353,TRUE,TRUE,Malasaña-Universidad,2,TRUE,80000.0,FALSE
6,89060064,228000,duplex,40.0,FALSE,1,1,Calle de Bailén,Madrid,Centro,40.4133,-3.7136,954,renew,FALSE,FALSE,5700,TRUE,TRUE,Palacio,2,FALSE,80000.0,FALSE
7,89059987,353000,flat,61.0,TRUE,2,1,Puerta de Toledo,Madrid,Arganzuela,40.4068,-3.7129,1371,good,FALSE,FALSE,5787,TRUE,TRUE,Acacias,5,TRUE,80000.0,FALSE
8,89059886,429000,flat,103.0,FALSE,5,2,barrio Sol,Madrid,Centro,40.4185,-3.7088,510,good,FALSE,FALSE,4165,TRUE,TRUE,Sol,6,TRUE,80000.0,FALSE
9,89059934,390000,flat,50.0,FALSE,1,1,barrio Ibiza,Madrid,Retiro,40.4182,-3.6757,2341,good,FALSE,FALSE,7800,TRUE,TRUE,Ibiza,5,TRUE,80000.0,FALSE
10,89059833,570000,flat,118.0,TRUE,2,2,Calle del Monasterio de las Batuecas,Madrid,Fuencarral,40.505,-3.7061,9824,good,FALSE,FALSE,4831,TRUE,TRUE,Montecarmelo,1,TRUE,80000.0,FALSE
11,89059692,297000,flat,110.0,TRUE,4,2,Avenida de Santa Eugenia,Madrid,Villa de Vallecas,40.383,-3.613,8514,good,FALSE,FALSE,2700,TRUE,TRUE,Santa Eugenia,6,TRUE,80000.0,FALSE
12,89059630,1814000,flat,344.0,TRUE,4,4,barrio Conde Orgaz-Piovera,Madrid,Hortaleza,40.4569,-3.6451,6647,good,FALSE,FALSE,5273,TRUE,TRUE,Conde Orgaz-Piovera,2,TRUE,80000.0,FALSE
13,89059624,215000,flat,65.0,TRUE,1,1,Calle Doctor Vallejo,Madrid,Ciudad Lineal,40.4353,-3.6445,5387,good,FALSE,FALSE,3308,TRUE,TRUE,Quintana,2,TRUE,80000.0,FALSE
14,89059590,126000,flat,68.0,TRUE,2,1,Calle de Camarena,Madrid,Latina,40.3891,-3.758,5560,renew,FALSE,FALSE,1853,TRUE,TRUE,Aluche,3,FALSE,80000.0,FALSE
15,89059514,569000,flat,105.0,FALSE,4,2,barrio Sol,Madrid,Centro,40.4155,-3.7051,204,good,FALSE,FALSE,5419,TRUE,TRUE,Sol,6,TRUE,80000.0,FALSE
16,89059460,245000,flat,40.0,TRUE,1,1,barrio Guindalera,Madrid,Barrio de Salamanca,40.4404,-3.6716,3756,good,FALSE,FALSE,6125,TRUE,TRUE,Guindalera,3,TRUE,80000.0,FALSE
17,85288457,68000,flat,60.0,TRUE,4,1,"Calle de Beniferri, 55",Madrid,Villaverde,40.3442,-3.6903,8129,renew,FALSE,FALSE,1133,TRUE,TRUE,San Cristóbal,5,FALSE,80000.0,FALSE
18,89059310,460000,flat,131.0,TRUE,3,2,Avenida de América,Madrid,Chamartín,40.4387,-3.6715,3638,good,FALSE,FALSE,3511,TRUE,TRUE,Prosperidad,5,TRUE,80000.0,FALSE
19,89059182,149000,duplex,31.0,FALSE,2,1,barrio Lavapiés-Embajadores,Madrid,Centro,40.4081,-3.7066,998,good,FALSE,FALSE,4806,TRUE,TRUE,Lavapiés-Embajadores,4,FALSE,80000.0,FALSE
20,89059185,104900,flat,66.0,TRUE,2,1,Calle de Tucan,Madrid,Carabanchel,40.3919,-3.7398,4143,good,FALSE,FALSE,1589,TRUE,TRUE,Vista Alegre,4,FALSE,80000.0,FALSE
21,89059001,675000,flat,80.0,TRUE,2,2,"Calle de Hermosilla, 91",Madrid,Barrio de Salamanca,40.4261,-3.6763,2507,good,FALSE,FALSE,8438,TRUE,TRUE,Goya,2,TRUE,80000.0,FALSE
22,89058979,350000,duplex,120.0,TRUE,3,1,Calle Feijóo,Madrid,Chamberí,40.4346,-3.7017,1989,good,FALSE,FALSE,2917,TRUE,TRUE,Trafalgar,bj,TRUE,80000.0,FALSE
23,89058910,460000,flat,141.0,TRUE,3,2,barrio Legazpi,Madrid,Arganzuela,40.3899,-3.6906,3164,good,FALSE,FALSE,3262,TRUE,TRUE,Legazpi,4,TRUE,80000.0,FALSE
24,89058822,340000,flat,65.0,TRUE,1,1,Calle Puenteareas,Madrid,Chamartín,40.4446,-3.6703,4171,good,FALSE,FALSE,5231,TRUE,TRUE,Prosperidad,7,TRUE,80000.0,FALSE
25,89058684,120000,flat,35.0,FALSE,1,1,Ambrosio Vallejo,Madrid,Tetuán,40.4553,-3.7077,4312,good,FALSE,FALSE,3429,TRUE,TRUE,Berruguete,1,FALSE,80000.0,FALSE
26,89058554,610000,flat,140.0,TRUE,4,2,barrio Guindalera,Madrid,Barrio de Salamanca,40.4375,-3.6771,3201,renew,FALSE,FALSE,4357,TRUE,TRUE,Guindalera,3,TRUE,80000.0,FALSE
27,89058425,465000,flat,140.0,TRUE,4,1,Calle de Toledo,Madrid,Centro,40.415,-3.7077,419,renew,FALSE,FALSE,3321,TRUE,TRUE,Sol,1,TRUE,80000.0,FALSE
28,89058452,540000,flat,70.0,TRUE,2,1,Calle de Maldonado,Madrid,Barrio de Salamanca,40.4329,-3.6863,2306,renew,FALSE,FALSE,7714,TRUE,TRUE,Castellana,4,TRUE,80000.0,FALSE
29,89058302,1690000,chalet,1003.0,FALSE,9,7,barrio Somosaguas,Pozuelo de Alarcón,Somosaguas,40.4145,-3.7816,6633,good,FALSE,FALSE,1685,TRUE,TRUE,Somosaguas,4,TRUE,80000.0,FALSE
30,89058407,550000,flat,128.0,FALSE,3,2,barrio Zona Avenida Europa,Pozuelo de Alarcón,Zona Avenida Europa,40.4292,-3.8109,9216,good,FALSE,FALSE,4297,TRUE,TRUE,Zona Avenida Europa,2,TRUE,80000.0,FALSE
31,89058406,159000,flat,29.0,FALSE,1,1,Calle de San Hermenegildo,Madrid,Centro,40.427,-3.7069,1186,renew,FALSE,FALSE,5483,TRUE,TRUE,Malasaña-Universidad,2,FALSE,80000.0,FALSE
32,89058361,790000,flat,130.0,TRUE,5,2,barrio Ibiza,Madrid,Retiro,40.4217,-3.6748,2469,renew,FALSE,FALSE,6077,TRUE,TRUE,Ibiza,2,TRUE,80000.0,FALSE
33,89058259,425000,flat,94.0,TRUE,1,1,barrio Cuzco-Castillejos,Madrid,Tetuán,40.4618,-3.6933,5090,good,FALSE,FALSE,4521,TRUE,TRUE,Cuzco-Castillejos,2,TRUE,80000.0,FALSE
34,89058069,1169000,flat,266.0,TRUE,4,3,barrio Niño Jesús,Madrid,Retiro,40.4124,-3.6708,2789,good,FALSE,FALSE,4395,TRUE,TRUE,Niño Jesús,1,TRUE,80000.0,FALSE
35,88982265,255000,flat,108.0,TRUE,3,2,"Calle Ribera del Manzanares, 89",Madrid,Moncloa,40.4254,-3.7291,2392,renew,FALSE,FALSE,2361,TRUE,TRUE,Casa de Campo,4,TRUE,80000.0,FALSE
36,89058169,147300,flat,54.0,TRUE,2,1,"santa maría de la cabeza, 132",Madrid,Carabanchel,40.3906,-3.7116,2983,good,FALSE,FALSE,2728,TRUE,TRUE,Comillas,9,TRUE,80000.0,FALSE
37,89058128,598000,flat,161.0,TRUE,3,3,Calle Juan Esplandiú,Madrid,Retiro,40.4184,-3.6632,3393,good,FALSE,FALSE,3714,TRUE,TRUE,Estrella,2,TRUE,80000.0,FALSE
38,89056696,161500,flat,104.0,TRUE,2,2,Calle de Urgel,Madrid,Carabanchel,40.3931,-3.7253,3221,good,FALSE,FALSE,1553,TRUE,TRUE,San Isidro,bj,FALSE,80000.0,FALSE
39,89058047,268200,flat,83.0,TRUE,3,1,Calle de San Gerardo,Madrid,Moncloa,40.4687,-3.7214,5983,good,FALSE,FALSE,3231,TRUE,TRUE,Valdezarza,2,TRUE,80000.0,FALSE
40,89058028,439000,flat,125.0,TRUE,4,2,Calle de Sánchez Barcáiztegui,Madrid,Retiro,40.4058,-3.6747,2704,renew,FALSE,FALSE,3512,TRUE,TRUE,Pacífico,6,TRUE,80000.0,FALSE
41,89053233,110000,flat,64.0,TRUE,3,1,"priorato, 15",Leganés,Zarzaquemada,40.3396,-3.7538,9579,good,FALSE,FALSE,1719,TRUE,TRUE,Zarzaquemada,3,FALSE,80000.0,FALSE
42,89057878,449000,flat,192.0,TRUE,2,1,Calle Martínez Corrochano,Madrid,Retiro,40.4041,-3.667,3373,good,FALSE,FALSE,2339,TRUE,TRUE,Adelfas,2,TRUE,80000.0,FALSE
43,89057739,220000,flat,107.0,TRUE,3,2,Calle Fondón,Madrid,Hortaleza,40.4812,-3.6574,8151,good,FALSE,FALSE,2056,TRUE,TRUE,Apóstol Santiago,5,TRUE,80000.0,FALSE
44,89057640,460000,flat,95.0,TRUE,3,2,"Calle del Conde Duque, 44",Madrid,Centro,40.4291,-3.7091,1460,renew,FALSE,FALSE,4842,TRUE,TRUE,Malasaña-Universidad,1,TRUE,80000.0,FALSE
45,89057526,138000,flat,65.0,TRUE,3,1,duquesa de parcent,Madrid,Latina,40.3961,-3.749,4500,good,FALSE,FALSE,2123,TRUE,TRUE,Lucero,2,TRUE,80000.0,FALSE
46,86914438,460000,duplex,115.0,TRUE,2,2,barrio Fuente del Berro,Madrid,Barrio de Salamanca,40.426,-3.6632,3543,good,FALSE,FALSE,4000,TRUE,FALSE,Fuente del Berro,2,TRUE,25000.0,FALSE
47,89057333,125000,flat,56.0,TRUE,2,1,ALDEANUEVA DE LA VERA,Madrid,Latina,40.3799,-3.7771,7473,good,FALSE,FALSE,2232,TRUE,FALSE,Águilas,bj,TRUE,25000.0,FALSE
48,89057034,325000,flat,43.0,FALSE,2,2,Calle del General Pardiñas,Madrid,Barrio de Salamanca,40.4292,-3.6765,2659,good,FALSE,FALSE,7558,TRUE,FALSE,Goya,5,TRUE,25000.0,FALSE
49,89057004,395000,flat,90.0,TRUE,3,1,"Calle del Desengaño, 10",Madrid,Centro,40.4208,-3.7028,461,good,FALSE,FALSE,4389,TRUE,FALSE,Malasaña-Universidad,3,TRUE,25000.0,FALSE
0,88765661,126000,flat,88.0,TRUE,3,1,Calle de Cullera,Madrid,Latina,40.3965,-3.7467,4309,good,FALSE,FALSE,1432,TRUE,FALSE,Lucero,5,TRUE,25000.0,FALSE
1,83205983,89475,flat,69.0,FALSE,3,2,Calle Amadeo I,Madrid,Puente de Vallecas,40.4047,-3.659,3976,good,FALSE,FALSE,1297,TRUE,FALSE,Numancia,bj,FALSE,25000.0,FALSE
2,83112244,89475,flat,69.0,TRUE,3,2,"Calle Amadeo I, Madrid",Madrid,Puente de Vallecas,40.4047,-3.6586,4008,renew,FALSE,FALSE,1297,TRUE,FALSE,Numancia,bj,FALSE,25000.0,FALSE
3,88372267,247000,penthouse,95.0,TRUE,2,2,barrio Casco Histórico de Vallecas,Madrid,Villa de Vallecas,40.3724,-3.6147,8970,good,FALSE,FALSE,2600,TRUE,FALSE,Casco Histórico de Vallecas,4,TRUE,25000.0,FALSE
4,87967806,79200,flat,57.0,TRUE,2,1,Avenida VIRGEN DEL CARMEN,Madrid,Hortaleza,40.4737,-3.6547,7550,renew,FALSE,FALSE,1389,TRUE,FALSE,Pinar del Rey,ss,FALSE,25000.0,FALSE
5,88765478,488000,flat,133.0,TRUE,3,2,Calle Doña Juana I de Castilla,Madrid,San Blas,40.4448,-3.6323,6771,good,FALSE,FALSE,3669,TRUE,FALSE,Salvador,3,TRUE,25000.0,FALSE
6,88546919,150000,flat,47.0,FALSE,1,1,barrio Sol,Madrid,Centro,40.4163,-3.7033,44,renew,FALSE,FALSE,3191,TRUE,FALSE,Sol,bj,TRUE,25000.0,FALSE
7,88378131,160000,flat,56.0,FALSE,1,1,Calle del Príncipe de Vergara,Madrid,Chamartín,40.4517,-3.6783,4432,good,FALSE,FALSE,2857,TRUE,FALSE,Bernabéu-Hispanoamérica,st,TRUE,25000.0,FALSE
8,88395970,99500,flat,65.0,FALSE,2,1,Calle RUIDERA,Madrid,Puente de Vallecas,40.3793,-3.674,4842,good,FALSE,FALSE,1531,TRUE,FALSE,Entrevías,2,FALSE,25000.0,FALSE
9,87159166,95000,flat,35.0,TRUE,1,1,Calle Ramón Sainz,Madrid,Carabanchel,40.3893,-3.7373,4195,good,FALSE,FALSE,2714,TRUE,FALSE,Vista Alegre,bj,FALSE,25000.0,FALSE
10,88814575,319611,flat,101.0,TRUE,4,2,barrio Pueblo Nuevo,Madrid,Ciudad Lineal,40.4359,-3.6433,5507,good,FALSE,FALSE,3164,TRUE,FALSE,Pueblo Nuevo,1,TRUE,25000.0,FALSE
11,85674761,235000,duplex,120.0,TRUE,2,2,"Calle de Cronos, 24",Madrid,San Blas,40.4407,-3.6181,7686,good,FALSE,FALSE,1958,TRUE,FALSE,Simancas,bj,TRUE,15000.0,FALSE
12,87755920,145000,flat,66.0,FALSE,3,1,Calle de Marcelo Usera,Madrid,Usera,40.3847,-3.7095,3596,good,FALSE,FALSE,2197,TRUE,FALSE,Moscardó,2,TRUE,15000.0,FALSE
13,88694935,115000,flat,80.0,TRUE,1,1,Calle Castillo de Madrigal de las Altas Torres,Madrid,San Blas,40.4275,-3.6257,6673,renew,FALSE,FALSE,1438,TRUE,FALSE,Simancas,bj,FALSE,15000.0,FALSE
14,87173630,97000,flat,74.0,TRUE,3,2,illescas,Madrid,Latina,40.3946,-3.7629,5614,good,FALSE,FALSE,1311,TRUE,FALSE,Aluche,12,TRUE,15000.0,FALSE
15,88857296,260000,flat,136.0,TRUE,3,2,Calle de Eugenia de Montijo,Madrid,Carabanchel,40.3755,-3.7531,6223,good,FALSE,FALSE,1912,TRUE,FALSE,Buena Vista,1,FALSE,15000.0,FALSE
16,88649693,200000,flat,93.0,TRUE,3,2,Calle Fuentespina,Madrid,Villa de Vallecas,40.378,-3.6076,9175,good,FALSE,FALSE,2151,TRUE,FALSE,Santa Eugenia,5,TRUE,15000.0,FALSE
17,88482435,115000,flat,53.0,TRUE,3,1,Calle Albares de la Ribera,Madrid,Carabanchel,40.375,-3.7423,5694,good,FALSE,FALSE,2170,TRUE,FALSE,Puerta Bonita,bj,FALSE,15000.0,FALSE
18,88657371,118000,flat,58.0,TRUE,2,1,ZAIDA,Madrid,Carabanchel,40.3963,-3.7322,3337,good,FALSE,FALSE,2034,TRUE,FALSE,San Isidro,1,FALSE,15000.0,FALSE
